Líneas Nazca,Estudios
Estudios,Líneas y geoglifos Nasca ubicados desierto región Ica
Líneas y geoglifos Nasca ubicados desierto región Ica,declarados Patrimonio Cultural Humanidad UNESCO
declarados Patrimonio Cultural Humanidad UNESCO,María Reiche hallazgo dedicó vida a conservación y a descubrir misterio construcción y diseño responderían a preguntas intención antiguos pobladores Cultura Nasca enigmas numerosas hipótesis estudiosos Julio Tello Paul Kosok
María Reiche hallazgo dedicó vida a conservación y a descubrir misterio construcción y diseño responderían a preguntas intención antiguos pobladores Cultura Nasca enigmas numerosas hipótesis estudiosos Julio Tello Paul Kosok,Carreteras Julio César Tello y Toribio Mejía Xesspe arqueólogos estudiar líneas
Carreteras Julio César Tello y Toribio Mejía Xesspe arqueólogos estudiar líneas,Tello concluyó carreteras sagradas
Tello concluyó carreteras sagradas,Calendario John Rowe concluye centros adoración discípulo matemático Max Uhle argumentó gigantesco calendario
Calendario John Rowe concluye centros adoración discípulo matemático Max Uhle argumentó gigantesco calendario,libro astronómico
libro astronómico,Paul Kosok técnica carbono catorce determinó edad Líneas años y regresó a país origen EEUU dejando a compañera alemana María Reiche a cargo estudio Líneas tarea realizaría resto vida
Paul Kosok técnica carbono catorce determinó edad Líneas años y regresó a país origen EEUU dejando a compañera alemana María Reiche a cargo estudio Líneas tarea realizaría resto vida,equipo arqueológico Fundación Suiza Liechtenstein primeras investigaciones sistemáticas excavando yacimientos y documentando científicamente
equipo arqueológico Fundación Suiza Liechtenstein primeras investigaciones sistemáticas excavando yacimientos y documentando científicamente,dichas investigaciones concluyen líneas hechas año y concluyó gigantesco calendario solar y lunar antiguos astrónomos peruanos utilizaban pronosticar etapa cosechar y temporada lluvias
dichas investigaciones concluyen líneas hechas año y concluyó gigantesco calendario solar y lunar antiguos astrónomos peruanos utilizaban pronosticar etapa cosechar y temporada lluvias,Paisaje ritual relacionados acueductos
Paisaje ritual relacionados acueductos,Asimismo esclareció procedimiento y metodología utilizados antiguos habitantes cultura Nasca elaborar geoglifos
Asimismo esclareció procedimiento y metodología utilizados antiguos habitantes cultura Nasca elaborar geoglifos,conclusiones a figuras forman paisaje ritual destinado a pedir a dioses aprovisionamiento agua necesario
conclusiones a figuras forman paisaje ritual destinado a pedir a dioses aprovisionamiento agua necesario,hipótesis aceptadas
hipótesis aceptadas,aceptadas falta rigor científico pistas aterrizaje extraterrestre o construidas y diseñadas extraterrestres
aceptadas falta rigor científico pistas aterrizaje extraterrestre o construidas y diseñadas extraterrestres,A conclusión llegaron investigadores a descubrimiento figura Astronauta figuras antropomórficas encontradas líneas
A conclusión llegaron investigadores a descubrimiento figura Astronauta figuras antropomórficas encontradas líneas,Casa Museo María Reiche
Casa Museo María Reiche,casa museo MariaReiche encontrar información líneas Nasca y investigaciones María Reiche torno a
casa museo MariaReiche encontrar información líneas Nasca y investigaciones María Reiche torno a,información visitar enlace MIncetur
información visitar enlace MIncetur,Cóndor
Cóndor,llamado Ave o Pájaro gigante
llamado Ave o Pájaro gigante,Posee metros metros ancho
Posee metros metros ancho,cuello forma culebra y pico apunta directamente a salida sol
cuello forma culebra y pico apunta directamente a salida sol,conoce Anunciador Inti Raymi Fiesta Sol imperio mañana y junio puesta sol saliendo pico forma zigzag
conoce Anunciador Inti Raymi Fiesta Sol imperio mañana y junio puesta sol saliendo pico forma zigzag,basta situar observador cabeza ave verlo
basta situar observador cabeza ave verlo,Mono
Mono,mono nueve dedos cola forma espiral y posee tamaño descomunal metros
mono nueve dedos cola forma espiral y posee tamaño descomunal metros,teoría astronómica teje torno a geoglifo indica representación Osa
teoría astronómica teje torno a geoglifo indica representación Osa,a investigaciones María Reiche probable figura utilizada pobladores Cultura Nasca punto partida estudiar firmamento y prepararse acontecimientos pudiesen llegar
a investigaciones María Reiche probable figura utilizada pobladores Cultura Nasca punto partida estudiar firmamento y prepararse acontecimientos pudiesen llegar,Manos
Manos,manos dedos
manos dedos,Personas o animales nacen dedos normal considerados cercanos a apus dioses cerros antiguas divinidades Nasca tenían facultad convertirse ave y volar
